Implementation - Operation,624 Vertices,1249 Vertices,2499 Vertices,4999 Vertices,9999 Vertices,19999 Vertices
List - Delete,0.0001207350,0.0025019646,0.0088257313,0.0351600647,0.1401988983,
List - Insert,,0.0001283646,0.0002351284,0.0006656647,0.0008868694,0.0027206421
List - Lookup,,0.0104080200,0.0424319744,0.1735907078,0.7055952072,3.2112814903
List - VerifyDeletion,0.0053706169,0.0227275848,0.0886682034,0.3614669323,1.4926889420,
Set - Delete,0.0003408909,0.0005283832,0.0011797905,0.0022188663,0.0056355476,
Set - Insert,,0.0005842686,0.0008664131,0.0017162323,0.0044518948,0.0085622787
Set - Lookup,,0.0002401829,0.0005708218,0.0020582199,0.0054444313,0.0123595714
Set - VerifyDeletion,0.0001182079,0.0003589153,0.0009102344,0.0027663231,0.0058279991,
Linear Reference,0.0001182079,0.0002364159,0.0004728318,0.0009456635,0.0018913270,0.0037826541
Quadratic Reference,0.0139731171,0.0558924683,0.2235698733,0.8942794931,3.5771179722,14.3084718889
